Status,Subj,Num,Title Short,Title Long,Type/Instr Met,Level,College,Dept,Cred Hrs,Description
Active,ACC,4410,Advanced Taxation,Advanced Taxation,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Continues the study of taxation, including tax-planning strategies, the tax legislative process, tax controversies and litigation, the hierarchy of tax authorities, and tax research and writing techniques. Emphasizes the tax-planning techniques and opportunities for individuals and businesses to avoid or minimize the present value of tax liabilities through property acquisitions; exchanges and dispositions; deferred and installment sales; corporate reorganizations; liquidations; and other pass-through entity structures such as limited liability companies, trusts, estates, and personal holding companies. Integrates the analysis of legislative motives to provide incentives to promote desired economic and social behavior and to exact penalties to discourage undesirable economic and social activity."
Active,ACC,4420,Advanced Accounting,Advanced Accounting,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Covers Securities and Exchange Commission reporting requirements, including segment and interim reporting requirements for large publicly held companies. Focuses on the equity method of accounting for investments; consolidations of financial information and consolidated reporting requirements for activities subsequent to the date of acquisition; consolidated financial statements as they pertain to outside ownership, intercompany asset transactions, and ownership patterns and income taxes; and intercompany debt, consolidated statement of cash flows, and other multi-entity issues. Other related matters covered include multinational accounting for foreign currency transactions and financial instruments, including the currency translation of foreign entity financial statements. Special advanced topics include accounting for partnerships, estates and trusts, fund accounting, bankruptcy liquidations and reorganizations, and accounting for governmental units and not-for-profit entities."
Active,ACC,4955,Project,Project,Type: Individual Instruction | Instr Met:,UC,PS,CPS,1 to 4,Focuses on in-depth project in which a student conducts research or produces a product related to the student's major field. May be repeated without limit.
Active,ACC,4990,Elective,Elective,Type: Off-campus instruction | Instr Met:,UC,PS,CPS,1 to 4,Offers elective credit for courses taken at other academic institutions. May be repeated without limit.
Active,ACC,6210,Forensic Accounting Principles,Forensic Accounting Principles,Type: Lecture | Instr Met:,GP,PS,CPS,4,"Seeks to provide students with a broad conceptual overview of the field of forensic accounting, the key internal controls required to deter/detect frauds or abuse, and the newly enacted corporate governance laws. Covers the roles, responsibilities, and requirements of a forensic accountant; basic legal and fraud examination theory; ethics in business; identifying the major types of cash, payroll, and other financial fraud schemes; detailed examination of the proper required internal audit controls (transaction authorization, segregation of duties, supervision, adequate documentation and records, physical safeguards, independent verification); and accounting/auditing standards and corporate governance needed to comply with the AICPA, SAS, CFE, government regulations, and Sarbanes-Oxley 2002 legislation. Discusses actual fraud cases to highlight the impact of auditing and forensic accounting on businesses and our society."
Active,ACC,6220,Dissecting Financial Statemnts,Dissecting Financial Statements,Type: Lecture | Instr Met:,GP,PS,CPS,4,"Offers students an opportunity to learn how to review, detect, and investigate possible financial statement concerns of publicly and privately held businesses, as well as nonprofit organizations and family businesses. Financial records of the companies studied span a variety of industries. Topics include legal elements of financial statement fraud, management's and auditor's responsibilities, improper revenue/sales recognition, inadequate disclosure of related-party transactions, improper asset valuation, improper deferral of costs and expenses, financial statement red flags, and inadequacies in management's discussion and analysis. Addresses such factors as off-balance-sheet activity, liquidity, financial performance indicators, unreported intangibles, and lease auditing. Typical cases could include WorldCom, Enron, Rite Aid, Crazy Eddie, and ESM Government Securities."
Active,ACC,6230,Investigative Acc & Fraud Exam,Investigative Accounting and Fraud Examination,Type: Lecture | Instr Met:,GP,PS,CPS,4,"Offers students an opportunity to learn how to identify and investigate accounting frauds and irregularities. Includes the in-depth review of sophisticated fraud schemes; how fraudulent conduct can be deterred; how allegations of fraud should be investigated and resolved; the recovery of assets; methods of writing effective reports; complying with SAS 82 and other fraud standards; and recent antiterrorist and money-laundering regulations, including the Patriot Act of 2002. Sessions are interactive, with students working through actual cases, developing investigative strategies, and seeking to prove how the fraud was committed. Topics covered include acts of skimming, cash larceny, check tampering, register disbursement schemes, billing schemes, payroll and expense reimbursement schemes, improper accounting of inventory and other assets, corruption, bribery, conflicts of interest, security fraud, and insurance fraud."
Active,ACC,6240,Litigation Support,Litigation Support,Type: Lecture | Instr Met:,GP,PS,CPS,4,"Covers the litigation process and civil and criminal statutes used to prosecute white-collar crimes. Offers students the opportunity to learn the appropriate analytical tools to quantify values for future earnings or damages resulting from fraud, breach of contract, or insurance disputes and to perform business valuations, including those arising from hostile situations such as divorce. Topics covered include how to assist in obtaining documentation necessary to support or refute a claim, assist in the examination for discovery, formulate questions to be asked regarding the financial evidence, review an opposing expert's damages report and report on both the strengths and weaknesses of the positions taken, assist with settlement discussions and negotiations, and provide assistance at trial in testimony or with cross-examination."
Active,ACC,6962,Elective,Elective,Type: Off-campus instruction | Instr Met:,GP,PS,CPS,1 to 4,Offers elective credit for courses taken at other academic institutions. May be repeated without limit.
Active,ALY,1990,Elective,Elective,Type: Off-campus instruction | Instr Met:,UC,PS,CPS,1 to 4,Offers elective credit for courses taken at other academic institutions. May be repeated without limit.
Active,ALY,2010,Prob Theory and Intro Stats,Probability Theory and Introductory Statistics,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Introduces statistics for data analytics from an analysis-of-data viewpoint. Topics include frequency distributions; measures of location; mean, median, mode; measures of dispersion; variance; graphic presentation; elementary probability; populations and samples; sampling distributions; categorical data; regression and correlation; and analysis of variance. Explores the use of statistical software in data analysis. Emphasizes hands-on application of probability and statistics in SPSS."
Active,ALY,2100,Intro Prog for Data Analytics,Introduction to Programming for Data Analytics,Type: Lecture | Instr Met:,UC,PS,CPS,3,Offers a hands-on first programming course for those with no prior programming experience. Covers basic programming logic and syntax with Python. Students apply Python packages mostly used on data analytics. Offers students an opportunity to learn how to code on the most used language in the job market.
Active,ALY,3015,Interm Stats for Data Analytic,Intermediate Statistics for Data Analytics,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Expands upon the earlier introduced statistical approaches. Emphasizes more advanced analysis and multivariate methods. The goal is to provide students with the fundamental data management, review, reengineering, and exploration skills as necessary data analytical competencies."
Active,ALY,3040,Data Mining,Data Mining,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Introduces the theories and tools for data mining techniques such as rule-based learning, decision trees, clustering, and association-rule mining. Also covers interpretation of the mined patterns using visualization techniques. Offers students an opportunity to gain the knowledge and experience to apply modern data-mining techniques for effective large-scale data pattern recognition and insight discovery. Introduces data analysis software—student teams evaluate, analyze, and report data for the methods used and insights discovered during case studies."
Active,ALY,3070,Comm & Visual Data Analytics,Communication and Visualization for Data Analytics,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Offers an interdisciplinary examination of design concepts and cognitive and communication theories that support effective practices for data visualization and communication. Considers the relationship between information and audience and studies effective techniques in the written, spoken, and visual communication of complex quantitative information. Project-based activities offer students opportunities to apply these techniques in a manner that makes data understandable, compelling, and actionable. Introduces R and Python visualization packages."
Active,ALY,3110,Big Data and Web Mining,Big Data and Web Mining,Type: Lecture | Instr Met:,UC,PS,CPS,3,Offers students an opportunity to work with very large data sets and to learn how to write code to search the World Wide Web for publicly available data in a methodical and automated manner.
Active,ALY,4000,Analytics Using R,Analytics Using R,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Offers an overview of analytics concepts and practices across a diverse range of organizational contexts. Introduces data structure and management using R and SQL R packages. Leverages big data using Hadoop, Spark, and R scripting. Engages students in discussions on analytics careers and their ethical considerations. Introduces the basics of business strategies for big data analytics through a final project."
Active,ALY,4020,Predic Analytics R and Python,Predictive Analytics Using R and Python,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Introduces the end-to-end data-driven predictive modeling approach in R, Python, KNIME and WEKA with applications and case studies. Includes all the data and modeling steps in a full modeling cycle (training, validation and testing), exploratory data analysis and data cleansing, commonly applied modeling techniques such as SVM, random forest and ensemble models; introduces neural networks using TensorFlow."
Active,ALY,4850,Analytics Capstone,Analytics Capstone,Type: Lecture | Instr Met:,UC,PS,CPS,3,Offers an advanced practicum in the development and delivery of data analysis for strategic decision making in organizations. Students apply the principles and tools of analytics to a comprehensive real-world problem or project within a sponsoring organization. Expects students to present analytical insights and recommendations for successful implementation of their capstone project.
Active,ALY,5000,Introduction to Analytics,Introduction to Analytics,Type: Lecture | Instr Met:,UC,PS,CPS,2.3,"Offers an overview of analytics concepts and practices across a diverse range of industries and organizational contexts. Provides a hands-on introduction to statistics, data management, and the R scripting language. Technical projects based on introductory statistics and the R language offer students an opportunity to understand and apply the theories, practices, and application of analytics to real-world problems. An initial exploration of data sets illustrates how fundamental data analysis can impact decision making at both the strategic and operational level. Students research case studies to examine careers and professional opportunities in both for-profit and nonprofit industry segments."
Active,ALY,5010,Prob Theory and Intro Stats,Probability Theory and Introductory Statistics,Type: Lecture | Instr Met:,UC,PS,CPS,2.3,"Introduces statistics for business analytics from an analysis-of-data viewpoint. Topics include frequency distributions; measures of location; mean, median, mode; measures of dispersion, variance, graphic presentation; elementary probability; populations and samples; sampling distributions; and categorical data. Includes a preliminary introduction to regression and correlation. Uses statistical software (for data analysis during analytic project assignments) to provide a hands-on experience to observe how probability and statistics, scripting, and basic data management impact decision making at all levels within a corporation."
Active,ALY,5015,Intermediate Analytics,Intermediate Analytics,Type: Lecture | Instr Met:,UC,PS,CPS,2.3,"Builds on the foundation provided in ALY 6000 and ALY 6010 by exploring at greater depth the tools of data correction and recoding, as well as those of statistics and R. Offers students an opportunity to learn to discern and validate meaningful and statistically significant patterns in data through sound applications of the scientific method. Emphasizes initial mastery of correlation and regression, ANOVA, GLM, and logistic regression. Introduces the more advanced techniques of multivariable regression and nonparametric statistics and sampling. The goal of this course is to offer students an opportunity to master the fundamental skills of data management, analysis, and communication, which are the core data analytical competencies required of today’s analytic professionals."
Active,ALY,5030,Data Warehousing and SQL,Data Warehousing and SQL,Type: Lecture | Instr Met:,UC,PS,CPS,2.3,"Focuses on the management, mining, and interpretation of patterns in large databases. Offers students an opportunity to learn how organizations construct data warehouses from operational databases, about different data warehouse architectures, how to build a data warehouse, and how to structure databases for efficient data mining. Discusses relational databases and Structured Query Language (SQL) for the fundamentals in data modeling, database management, and SQL queries. Introduces other modern database systems such as NoSQL (non SQL) and column-based databases."
Active,ALY,5040,Data Mining Applications,Data Mining Applications,Type: Lecture | Instr Met:,UC,PS,CPS,2.3,"Introduces the theories and tools for intensive data analysis methods and data mining techniques such as rule-based learning, decision trees, clustering, and association-rule mining. Also covers interpretation of the mined patterns using visualization techniques. Offers students an opportunity to gain the knowledge and experience to apply modern data-mining techniques for effective large-scale data pattern recognition and insight discovery. Introduces data analysis software; student teams evaluate, analyze, and report data for the methods used and insights discovered during case studies."
Active,ALY,5050,Intro to Enterprise Analytics,Introduction to Enterprise Analytics,Type: Lecture | Instr Met:,UC,PS,CPS,2.3,"Introduces advanced specific analysis techniques—including forecasting, simulation, linear programming, regressive modeling, and optimization—as well as the Python programming language. The more advanced mathematical, statistical, and presentation functions within the R library packages are heavily utilized. Emphasizes enterprise data analytics, which is the extensive use of data, statistical, and quantitative analysis; exploratory and predictive models; and fact-based decision making to drive business strategies and actions. Course projects embrace marketing, retail, financial, and human resources analytics, as well as familiarize students with general industry practices. Emphasizes end-to-end analytic development skills, including data management, data engineering, analytics modeling, and strategy development. Offers students hands-on opportunities to apply quantitative techniques in strategic business decision making."
Active,ALY,5070,Communicate/Visual Data Anly,Communication and Visualization for Data Analytics,Type: Lecture | Instr Met:,UC,PS,CPS,2.3,"Offers an interdisciplinary examination of design concepts and cognitive and communication theories that support effective practices for data visualization and communication. Considers the relationship between information and audience and studies effective techniques in the written, spoken, and visual communication of complex quantitative information. Project-based activities offer students opportunities to apply these techniques in a manner that makes data understandable, compelling, and actionable. Introduces R Shiny, Tableau and R in the lab sessions as the tool for data visualization."
Active,ALY,5110,Data Management & Big Data,Data Management and Big Data,Type: Lecture | Instr Met:,UC,PS,CPS,2.3,"Designed to provide the student with the core concepts of data collection and management. Topics include systems for collecting data and implications for practice; types of data (textual, quantitative, qualitative, etc.); and storing data with privacy and security issues in mind. Offers students an opportunity to obtain a high-level understanding of big data technologies for data accessibility, efficiency, and security of data management at scale, including big data storage and computing technologies and big data analytics applications. Students create a working system for data acquisition and management using publicly available data sets and evaluate traditional data warehouse platforms as well as cloud-based big data storage and computing technologies. Azure is also introduced and used in the lab sessions."
Active,ALY,6000,Introduction to Analytics,Introduction to Analytics,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Offers an overview of analytics concepts and practices across a diverse range of industries and organizational contexts. Provides a hands-on introduction to statistics, data management, and the R scripting language. Technical projects based on introductory statistics and the R language offer students an opportunity to understand and apply the theories, practices, and application of analytics to real-world problems. An initial exploration of data sets illustrates how fundamental data analysis can impact decision making at both the strategic and operational level. Students research case studies to examine careers and professional opportunities in both for-profit and nonprofit industry segments."
Active,ALY,6010,Prob Theory and Intro Stats,Probability Theory and Introductory Statistics,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Introduces statistics for business analytics from an analysis-of-data viewpoint. Topics include frequency distributions; measures of location; mean, median, mode; measures of dispersion, variance, graphic presentation; elementary probability; populations and samples; sampling distributions; and categorical data. Includes a preliminary introduction to regression and correlation. Uses statistical software (for data analysis during analytic project assignments) to provide a hands-on experience to observe how probability and statistics, scripting, and basic data management impact decision making at all levels within a corporation."
Active,ALY,6015,Intermediate Analytics,Intermediate Analytics,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Builds on the foundation provided in ALY 6000 and ALY 6010 by exploring at greater depth the tools of data correction and recoding, as well as those of statistics and R. Offers students an opportunity to learn to discern and validate meaningful and statistically significant patterns in data through sound applications of the scientific method. Emphasizes initial mastery of correlation and regression, ANOVA, GLM, and logistic regression. Introduces the more advanced techniques of multivariable regression and nonparametric statistics and sampling. The goal of this course is to offer students an opportunity to master the fundamental skills of data management, analysis, and communication, which are the core data analytical competencies required of today’s analytic professionals."
Active,ALY,6020,Predictive Analytics,Predictive Analytics,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Introduces the end-to-end, data-driven statistical and predictive modeling approach in R with applications and case studies. Includes all the data and modeling steps in a full modeling cycle, including data ETL process, exploratory data analysis, and data cleansing for outlier imputation and data normalization. Commonly applied modeling techniques such as k-nearest neighbors, GLM, random forest, neural networks, and Naive Bayes are heavily utilized and explained using advanced visualization techniques and simplified mathematical derivations to enhance understanding. Predictive analytic modeling steps such as model training, validation, and testing are widely utilized, as are R and Python for data processing, analysis, and modeling."
Active,ALY,6030,Data Warehousing and SQL,Data Warehousing and SQL,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Focuses on the management, mining, and interpretation of patterns in large databases. Offers students an opportunity to learn how organizations construct data warehouses from operational databases, about different data warehouse architectures, how to build a data warehouse, and how to structure databases for efficient data mining. Discusses relational databases and Structured Query Language (SQL) for the fundamentals in data modeling, database management, and SQL queries. Introduces other modern database systems such as NoSQL (non SQL) and column-based databases."
Active,ALY,6040,Data Mining Applications,Data Mining Applications,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Introduces the theories and tools for intensive data analysis methods and data mining techniques such as rule-based learning, decision trees, clustering, and association-rule mining. Also covers interpretation of the mined patterns using visualization techniques. Offers students an opportunity to gain the knowledge and experience to apply modern data-mining techniques for effective large-scale data pattern recognition and insight discovery. Introduces data analysis software; student teams evaluate, analyze, and report data for the methods used and insights discovered during case studies."
Active,ALY,6050,Intro to Enterprise Analytics,Introduction to Enterprise Analytics,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Introduces advanced specific analysis techniques—including forecasting, simulation, linear programming, regressive modeling, and optimization—as well as the Python programming language. The more advanced mathematical, statistical, and presentation functions within the R library packages are heavily utilized. Emphasizes enterprise data analytics, which is the extensive use of data, statistical, and quantitative analysis; exploratory and predictive models; and fact-based decision making to drive business strategies and actions. Course projects embrace marketing, retail, financial, and human resources analytics, as well as familiarize students with general industry practices. Emphasizes end-to-end analytic development skills, including data management, data engineering, analytics modeling, and strategy development. Offers students hands-on opportunities to apply quantitative techniques in strategic business decision making."
Active,ALY,6060,Decision Support & Bus Intel,Decision Support and Business Intelligence,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Introduces current and emerging business analytical concepts and information technologies to support decision making and business intelligence. Commercial decision support systems in various application areas are introduced and discussed using case studies, including CRM (customer relationship management) for customer management, web analytics applications, sales force management systems, etc. Introduces business intelligence technology and applications, such as OLAP (Online Analytical Processing), OBIEE (Oracle Business Intelligence Enterprise Edition), and IBM Cognos. Offers students an opportunity to gain hands-on experience using business intelligence tools, including Tableau or QlikView."
Active,ALY,6070,Communicate/Visual Data Anly,Communication and Visualization for Data Analytics,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Offers an interdisciplinary examination of design concepts and cognitive and communication theories that support effective practices for data visualization and communication. Considers the relationship between information and audience and studies effective techniques in the written, spoken, and visual communication of complex quantitative information. Project-based activities offer students opportunities to apply these techniques in a manner that makes data understandable, compelling, and actionable. Introduces R Shiny, Tableau and R in the lab sessions as the tool for data visualization."
Active,ALY,6080,Integrated Experiential Learn,Integrated Experiential Learning,Type: Lecture | Instr Met:,GP,PS,CPS,3,Offers a practicum in the development and delivery of predictive data analysis for strategic decision making in organizations. Offers students an opportunity to apply the principles and tools of analytics to real-world problems in business organizations and to develop and present analytical insights and recommendations for successful implementation of their capstone project.
Active,ALY,6110,Data Management & Big Data,Data Management and Big Data,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Designed to provide the student with the core concepts of data collection and management. Topics include systems for collecting data and implications for practice; types of data (textual, quantitative, qualitative, etc.); and storing data with privacy and security issues in mind. Offers students an opportunity to obtain a high-level understanding of big data technologies for data accessibility, efficiency, and security of data management at scale, including big data storage and computing technologies and big data analytics applications. Students create a working system for data acquisition and management using publicly available data sets and evaluate traditional data warehouse platforms as well as cloud-based big data storage and computing technologies. Azure is also introduced and used in the lab sessions."
Active,ALY,6120,Leadership in Analytics,Leadership in Analytics,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Covers analytical leadership principles for the structure and dynamics of organizations, combining relevant research to offer students an opportunity to deepen their understanding of effective change in business analytical decision making."
Active,ALY,6130,Risk Management Analytics,Risk Management for Analytics,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Seeks to provide a conceptual overview of analytic risk management. Offers students an opportunity to evaluate and analyze financial, technical, and other business risk-assessment and risk-modeling techniques and tools."
Active,ALY,6140,Analytics Systems Technology,Analytics Systems Technology,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Presents a selection of analytics systems technologies that are deployed in lab sessions throughout the analytics program. A multitude of analytics systems technologies are used for different purposes to describe data numerically and graphically, for data visualization, file systems (HFS) for a large data mart, applications of structured query language, and filtering and transforming to ingest the data through scripting languages. Some of the tools are taught in greater detail (e.g., Python, machine learning), whereas others are introduced more broadly."
Active,ALY,6150,Healthcare/Pharma Data & Appls,Healthcare/Pharmaceutical Data and Applications,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Introduces a selection of healthcare/pharmaceutical data used for a variety of purposes, and its specific application in data-driven business decision making. Healthcare/Pharmaceutical data is collected as part of Medicare and Medicaid databases and as mandated by the PPACA (Patient and Affordable Care Act) and the PPSA (Physicians Payment Sunshine Act). Data is available in the form of medical records, social networks, outcomes databases, syndicated data reports, epidemiological data, demographic data, analyst information, R&D Pipeline Database, market data, and online journals and newsletters. Organizations, corporations, and companies use these varieties of data for a host of different reasons - to better profile and segment customers, to answer performance questions, and to identify and capture key opportunities."
Active,ALY,6160,Business Intel Health/Pharma,Business Intelligence in Healthcare/Pharmaceutical,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Focuses on the use of and interplay between secondary data, primary market research, competitive intelligence, and forecasting within healthcare/pharmaceutical organizations. Introduces excellence in analytics on the pathway to market and launch planning. Discusses the approach and contribution of competitive intelligence as a critical component to the success of creating business insight. Also discusses excellence in forecasting and how the different business intelligence components of data, primary market research, and competitive intelligence shape sales and demand forecasts."
Active,ALY,6170,Decision Makers,Decision Makers,Type: Lecture | Instr Met:,GP,PS,CPS,3,"Discusses the fundamentals and applications of modern analytics. Shares real-world examples to illustrate excellence in analytics and how a complete understanding of its potential and power can translate into data-driven decision making that mitigates risk in decision making via efficient processes and has the potential to create competitive advantages for an organization. Offers decision makers (C-Suite, product mangers, etc.) that instruct and receive analytics an opportunity to obtain a comprehensive understanding and the opportunities of modern analytics, allowing them to ask better questions, make better-informed decisions quicker, and achieve more efficient outcomes. Introduces students to what modern analytics and the Black Box is capable of, without deconstructing the Black Box and the advanced analytics tool itself."
Active,ALY,6980,Capstone,Capstone,Type: Lecture | Instr Met:,GP,PS,CPS,3,Offers an advanced practicum in the development and delivery of predictive data analysis for strategic decision making in organizations. Students apply the principles and tools of analytics to a comprehensive real-world problem or project within a sponsoring organization. Expects students to present analytical insights and recommendations for successful implementation of their capstone project and their individual project proposal.
Active,ALY,6983,Topics,Topics,Type: Lecture | Instr Met:,GP,PS,CPS,3,Discusses contemporary topics in analytics for a rotating variety of industries (nonprofit and for-profit).
Active,ALY,6995,Project,Project,Type: Individual Instruction | Instr Met:,GP,PS,CPS,1 to 4,Focuses on an in-depth project in which a student conducts research or produces a product related to the student’s major field.
Active,ANT,1150,Cultural Anthropology,Cultural Anthropology,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Investigates the field of cultural anthropology. Covers a range of societies in terms of such sociocultural institutions as kinship, gender relations, economics, politics, and religion. Examines important political and economic processes, such as colonialism and development, affecting cultures around the world."
Active,ANT,1990,Elective,Elective,Type: Off-campus instruction | Instr Met:,UC,PS,CPS,1 to 4,Offers elective credit for courses taken at other academic institutions. May be repeated without limit.
Active,ANT,2990,Elective,Elective,Type: Off-campus instruction | Instr Met:,UC,PS,CPS,1 to 4,Offers elective credit for courses taken at other academic institutions. May be repeated without limit.
Active,ANT,3990,Elective,Elective,Type: Off-campus instruction | Instr Met:,UC,PS,CPS,1 to 4,Offers elective credit for courses taken at other academic institutions. May be repeated without limit.
Active,ANT,4955,Project,Project,Type: Individual Instruction | Instr Met:,UC,PS,CPS,1 to 4,Focuses on in-depth project in which a student conducts research or produces a product related to the student's major field. May be repeated without limit.
Active,ANT,4990,Elective,Elective,Type: Off-campus instruction | Instr Met:,UC,PS,CPS,1 to 4,Offers elective credit for courses taken at other academic institutions. May be repeated without limit.
Active,ART,1145,American Cinema,American Cinema,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Explores the uniquely distinguishing characteristics of American cinema. Covers camera angles, lighting, editing, sound, acting, narrative structure, and construction of point of view. Analyzes such recurring concerns of American cinema as the individual and community, issues of masculinity and violence, urban alienation, uprootedness, and adolescence."
Active,ART,1200,Digital Photography,Digital Photography,Type: Lecture | Instr Met:,UC,PS,CPS,3,"Designed to acquaint the beginner with the use of digital tools to manipulate and create digital imagery. Offers students an opportunity to learn to create a 360-degree panoramic photograph, digital slideshows, photographs for the web, and advanced techniques for negative scanning and advanced RAW file manipulation. Requires weekly assignments, demonstrations, hands-on experience, and a final portfolio. Students must supply their own 4-megapixel or greater camera. Intended as an entry-level course for visual artists and amateur photographers who wish to learn to express themselves using digital imaging."
Active,ART,1990,Elective,Elective,Type: Off-campus instruction | Instr Met:,UC,PS,CPS,1 to 4,Offers elective credit for courses taken at other academic institutions. May be repeated without limit.
